UTLA code,UTLA name,"Rate per 100,000 population",
E09000002,Barking and Dagenham,12.3,
E09000003,Barnet,13.0,
E08000016,Barnsley,7.8,
E06000022,Bath and North East Somerset,14.6,
E06000055,Bedford,10.5,
E09000004,Bexley,8.1,
E08000025,Birmingham,22.1,
E06000008,Blackburn with Darwen,50.4,
E06000009,Blackpool,6.5,
E08000001,Bolton,16.5,
E06000058,"Bournemouth, Christchurch and Poole",3.8,
E06000036,Bracknell Forest,4.1,
E08000032,Bradford,38.5,
E09000005,Brent,7.6,
E06000043,Brighton and Hove,7.2,
E06000023,"Bristol, City of",11.4,
E09000006,Bromley,10.0,
E10000002,Buckinghamshire,7.4,
E08000002,Bury,33.1,
E08000033,Calderdale,26.2,
E10000003,Cambridgeshire,4.0,
E09000007,Camden,9.9,
E06000056,Central Bedfordshire,6.7,
E06000049,Cheshire East,7.6,
E06000050,Cheshire West and Chester,7.9,
E06000052,Cornwall and Isles of Scilly,1.9,
E06000047,County Durham,7.8,
E08000026,Coventry,9.8,
E09000008,Croydon,8.0,
E10000006,Cumbria,5.6,
E06000005,Darlington,1.9,
E06000015,Derby,8.2,
E10000007,Derbyshire,3.8,
E10000008,Devon,5.3,
E08000017,Doncaster,3.2,
E06000059,Dorset,3.5,
E08000027,Dudley,6.2,
E09000009,Ealing,17.3,
E06000011,East Riding of Yorkshire,5.9,
E10000011,East Sussex,2.9,
E09000010,Enfield,12.3,
E10000012,Essex,5.6,
E08000037,Gateshead,5.4,
E10000013,Gloucestershire,4.4,
E09000011,Greenwich,3.5,
E09000012/E09000001,Hackney and City of London,23.9,
E06000006,Halton,3.1,
E09000013,Hammersmith and Fulham,16.7,
E10000014,Hampshire,5.4,
E09000014,Haringey,14.8,
E09000015,Harrow,11.6,
E06000001,Hartlepool,7.5,
E09000016,Havering,9.7,
E06000019,"Herefordshire, County of",4.7,
E10000015,Hertfordshire,9.1,
E09000017,Hillingdon,13.1,
E09000018,Hounslow,10.0,
E06000046,Isle of Wight,1.4,
E09000019,Islington,9.2,
E09000020,Kensington and Chelsea,14.1,
E10000016,Kent,5.2,
E06000010,"Kingston upon Hull, City of",2.7,
E09000021,Kingston upon Thames,8.0,
E08000034,Kirklees,22.6,
E08000011,Knowsley,4.7,
E09000022,Lambeth,10.7,
E10000017,Lancashire,13.9,
E08000035,Leeds,17.5,
E06000016,Leicester,42.2,
E10000018,Leicestershire,10.5,
E09000023,Lewisham,11.2,
E10000019,Lincolnshire,3.3,
E08000012,Liverpool,15.8,
E06000032,Luton,12.6,
E08000003,Manchester,41.6,
E06000035,Medway,3.2,
E09000024,Merton,8.2,
E06000002,Middlesbrough,13.5,
E06000042,Milton Keynes,9.3,
E08000021,Newcastle upon Tyne,14.3,
E09000025,Newham,6.5,
E10000020,Norfolk,3.3,
E06000012,North East Lincolnshire,3.1,
E06000013,North Lincolnshire,5.8,
E06000024,North Somerset,1.9,
E08000022,North Tyneside,4.4,
E10000023,North Yorkshire,5.4,
E10000021,Northamptonshire,20.2,
E06000057,Northumberland,10.3,
E06000018,Nottingham,11.5,
E10000024,Nottinghamshire,8.8,
E08000004,Oldham,52.6,
E10000025,Oxfordshire,13.2,
E06000031,Peterborough,15.9,
E06000026,Plymouth,6.5,
E06000044,Portsmouth,4.7,
E06000038,Reading,10.4,
E09000026,Redbridge,6.6,
E06000003,Redcar and Cleveland,5.9,
E09000027,Richmond upon Thames,8.1,
E08000005,Rochdale,36.4,
E08000018,Rotherham,4.9,
E06000017,Rutland,7.6,
E08000006,Salford,24.8,
E08000028,Sandwell,20.2,
E08000014,Sefton,9.8,
E08000019,Sheffield,10.3,
E06000051,Shropshire,6.2,
E06000039,Slough,12.7,
E08000029,Solihull,7.9,
E10000027,Somerset,4.3,
E06000025,South Gloucestershire,10.3,
E08000023,South Tyneside,11.3,
E06000045,Southampton,5.1,
E06000033,Southend-on-Sea,4.9,
E09000028,Southwark,15.4,
E08000013,St. Helens,8.3,
E10000028,Staffordshire,6.3,
E08000007,Stockport,11.7,
E06000004,Stockton-on-Tees,1.5,
E06000021,Stoke-on-Trent,20.7,
E10000029,Suffolk,2.9,
E08000024,Sunderland,5.8,
E10000030,Surrey,9.4,
E09000029,Sutton,12.2,
E06000030,Swindon,38.3,
E08000008,Tameside,28.9,
E06000020,Telford and Wrekin,10.1,
E06000034,Thurrock,4.1,
E06000027,Torbay,8.1,
E09000030,Tower Hamlets,9.1,
E08000009,Trafford,19.9,
E08000036,Wakefield,17.4,
E08000030,Walsall,12.0,
E09000031,Waltham Forest,9.0,
E09000032,Wandsworth,17.2,
E06000007,Warrington,2.4,
E10000031,Warwickshire,4.7,
E06000037,West Berkshire,5.7,
E10000032,West Sussex,6.4,
E09000033,Westminster,12.9,
E08000010,Wigan,12.6,
E06000054,Wiltshire,3.6,
E06000040,Windsor and Maidenhead,25.2,
E08000015,Wirral,5.9,
E06000041,Wokingham,6.6,
E08000031,Wolverhampton,12.2,
E10000034,Worcestershire,7.9,
E06000014,York,4.3,
