UTLA code,UTLA name,"Rate per 100,000 population"
E09000002,Barking and Dagenham,29.3
E09000003,Barnet,18.6
E08000016,Barnsley,22.4
E06000022,Bath and North East Somerset,5.7
E06000055,Bedford,20.4
E09000004,Bexley,12.1
E08000025,Birmingham,74.6
E06000008,Blackburn with Darwen,107.4
E06000009,Blackpool,25.1
E08000001,Bolton,175.2
E06000058,"Bournemouth, Christchurch and Poole",16.4
E06000036,Bracknell Forest,20.6
E08000032,Bradford,83.0
E09000005,Brent,22.7
E06000043,Brighton and Hove,17.9
E06000023,"Bristol, City of",12.3
E09000006,Bromley,11.8
E10000002,Buckinghamshire,10.6
E08000002,Bury,75.2
E08000033,Calderdale,48.1
E10000003,Cambridgeshire,9.5
E09000007,Camden,20.6
E06000056,Central Bedfordshire,10.2
E06000049,Cheshire East,21.0
E06000050,Cheshire West and Chester,27.0
E06000052,Cornwall and Isles of Scilly,7.4
E06000047,County Durham,34.2
E08000026,Coventry,28.9
E09000008,Croydon,14.0
E10000006,Cumbria,13.6
E06000005,Darlington,23.5
E06000015,Derby,16.7
E10000007,Derbyshire,23.5
E10000008,Devon,4.0
E08000017,Doncaster,19.0
E06000059,Dorset,5.6
E08000027,Dudley,24.3
E09000009,Ealing,26.9
E06000011,East Riding of Yorkshire,17.4
E10000011,East Sussex,6.5
E09000010,Enfield,27.3
E10000012,Essex,9.5
E08000037,Gateshead,71.1
E10000013,Gloucestershire,7.6
E09000011,Greenwich,16.1
E09000012/E09000001,Hackney and City of London,25.7
E06000006,Halton,61.5
E09000013,Hammersmith and Fulham,24.8
E10000014,Hampshire,7.3
E09000014,Haringey,21.4
E09000015,Harrow,24.4
E06000001,Hartlepool,40.8
E09000016,Havering,24.4
E06000019,"Herefordshire, County of",17.2
E10000015,Hertfordshire,18.7
E09000017,Hillingdon,16.1
E09000018,Hounslow,32.5
E06000046,Isle of Wight,5.0
E09000019,Islington,15.9
E09000020,Kensington and Chelsea,23.7
E10000016,Kent,6.1
E06000010,"Kingston upon Hull, City of",10.4
E09000021,Kingston upon Thames,14.3
E08000034,Kirklees,59.5
E08000011,Knowsley,88.3
E09000022,Lambeth,20.6
E10000017,Lancashire,53.8
E08000035,Leeds,62.7
E06000016,Leicester,80.0
E10000018,Leicestershire,37.4
E09000023,Lewisham,15.8
E10000019,Lincolnshire,15.9
E08000012,Liverpool,83.5
E06000032,Luton,26.2
E08000003,Manchester,70.5
E06000035,Medway,5.0
E09000024,Merton,13.6
E06000002,Middlesbrough,32.7
E06000042,Milton Keynes,10.4
E08000021,Newcastle upon Tyne,52.6
E09000025,Newham,27.0
E10000020,Norfolk,7.6
E06000012,North East Lincolnshire,6.3
E06000013,North Lincolnshire,22.7
E06000024,North Somerset,10.3
E08000022,North Tyneside,39.3
E10000023,North Yorkshire,27.2
E10000021,Northamptonshire,26.0
E06000057,Northumberland,22.5
E06000018,Nottingham,23.6
E10000024,Nottinghamshire,22.0
E08000004,Oldham,106.5
E10000025,Oxfordshire,11.5
E06000031,Peterborough,24.9
E06000026,Plymouth,16.0
E06000044,Portsmouth,11.2
E06000038,Reading,8.6
E09000026,Redbridge,34.2
E06000003,Redcar and Cleveland,18.3
E09000027,Richmond upon Thames,17.3
E08000005,Rochdale,77.3
E08000018,Rotherham,34.0
E06000017,Rutland,12.6
E08000006,Salford,78.6
E08000028,Sandwell,54.4
E08000014,Sefton,44.7
E08000019,Sheffield,41.4
E06000051,Shropshire,12.2
E06000039,Slough,20.8
E08000029,Solihull,61.0
E10000027,Somerset,6.4
E06000025,South Gloucestershire,11.7
E08000023,South Tyneside,73.9
E06000045,Southampton,6.7
E06000033,Southend-on-Sea,12.6
E09000028,Southwark,19.2
E08000013,St. Helens,76.7
E10000028,Staffordshire,20.6
E08000007,Stockport,41.1
E06000004,Stockton-on-Tees,26.9
E06000021,Stoke-on-Trent,24.6
E10000029,Suffolk,7.5
E08000024,Sunderland,71.0
E10000030,Surrey,15.0
E09000029,Sutton,9.3
E06000030,Swindon,8.1
E08000008,Tameside,96.8
E06000020,Telford and Wrekin,11.3
E06000034,Thurrock,8.7
E06000027,Torbay,0.7
E09000030,Tower Hamlets,25.5
E08000009,Trafford,37.2
E08000036,Wakefield,27.5
E08000030,Walsall,31.4
E09000031,Waltham Forest,21.0
E09000032,Wandsworth,23.0
E06000007,Warrington,91.6
E10000031,Warwickshire,16.6
E06000037,West Berkshire,4.4
E10000032,West Sussex,12.0
E09000033,Westminster,14.9
E08000010,Wigan,39.0
E06000054,Wiltshire,6.2
E06000040,Windsor and Maidenhead,41.1
E08000015,Wirral,76.1
E06000041,Wokingham,8.9
E08000031,Wolverhampton,47.3
E10000034,Worcestershire,18.4
E06000014,York,28.6
